"Date","Additions","Deletions"
"2018-03-25 00:00:00",52,-16
"2018-04-01 00:00:00",1503,-1491
"2018-04-08 00:00:00",0,0
"2018-04-15 00:00:00",2,-2
"2018-04-22 00:00:00",0,0
"2018-04-29 00:00:00",0,0
"2018-05-06 00:00:00",0,0
"2018-05-13 00:00:00",0,0
"2018-05-20 00:00:00",0,0
"2018-05-27 00:00:00",0,-10
"2018-06-03 00:00:00",184,-105
"2018-06-10 00:00:00",0,0
"2018-06-17 00:00:00",0,0
"2018-06-24 00:00:00",1,-7
"2018-07-01 00:00:00",50,-36
"2018-07-08 00:00:00",270,-143
"2018-07-15 00:00:00",4454,-5833
"2018-07-22 00:00:00",0,0
"2018-07-29 00:00:00",0,0
"2018-08-05 00:00:00",0,0
"2018-08-12 00:00:00",0,0
"2018-08-19 00:00:00",0,0
"2018-08-26 00:00:00",0,0
"2018-09-02 00:00:00",0,0
"2018-09-09 00:00:00",0,0
"2018-09-16 00:00:00",0,0
"2018-09-23 00:00:00",0,0
"2018-09-30 00:00:00",0,0
"2018-10-07 00:00:00",10,-10
"2018-10-14 00:00:00",0,0
"2018-10-21 00:00:00",0,0
"2018-10-28 00:00:00",0,0
"2018-11-04 00:00:00",0,0
"2018-11-11 00:00:00",0,0
"2018-11-18 00:00:00",0,0
"2018-11-25 00:00:00",0,0
"2018-12-02 00:00:00",0,0
"2018-12-09 00:00:00",0,0
"2018-12-16 00:00:00",0,0
"2018-12-23 00:00:00",0,0
"2018-12-30 00:00:00",0,0
"2019-01-06 00:00:00",0,0
"2019-01-13 00:00:00",0,0
"2019-01-20 00:00:00",0,0
"2019-01-27 00:00:00",0,0
"2019-02-03 00:00:00",0,0
"2019-02-10 00:00:00",0,0
"2019-02-17 00:00:00",0,0
"2019-02-24 00:00:00",0,0
"2019-03-03 00:00:00",0,0
"2019-03-10 00:00:00",0,0
"2019-03-17 00:00:00",0,0
"2019-03-24 00:00:00",0,0
"2019-03-31 00:00:00",0,0
"2019-04-07 00:00:00",0,0
"2019-04-14 00:00:00",0,0
"2019-04-21 00:00:00",0,0
"2019-04-28 00:00:00",0,0
"2019-05-05 00:00:00",0,0
"2019-05-12 00:00:00",0,0
"2019-05-19 00:00:00",0,0
"2019-05-26 00:00:00",0,0
"2019-06-02 00:00:00",0,0
"2019-06-09 00:00:00",51,-24
"2019-06-16 00:00:00",0,0
"2019-06-23 00:00:00",0,0
"2019-06-30 00:00:00",0,0
"2019-07-07 00:00:00",0,0
"2019-07-14 00:00:00",0,0
"2019-07-21 00:00:00",0,0
"2019-07-28 00:00:00",0,0
"2019-08-04 00:00:00",0,0
"2019-08-11 00:00:00",0,0
"2019-08-18 00:00:00",3322,-242197
"2019-08-25 00:00:00",350,-178
"2019-09-01 00:00:00",2633,-19
"2019-09-08 00:00:00",0,0
"2019-09-15 00:00:00",0,0
"2019-09-22 00:00:00",0,0
"2019-09-29 00:00:00",4,-4
"2019-10-06 00:00:00",0,0
"2019-10-13 00:00:00",0,0
"2019-10-20 00:00:00",0,0
"2019-10-27 00:00:00",0,0
"2019-11-03 00:00:00",0,0
"2019-11-10 00:00:00",0,0
"2019-11-17 00:00:00",1,-1
"2019-11-24 00:00:00",0,0
"2019-12-01 00:00:00",0,0
"2019-12-08 00:00:00",1,-1
"2019-12-15 00:00:00",0,0
"2019-12-22 00:00:00",0,0
"2019-12-29 00:00:00",0,0
"2020-01-05 00:00:00",0,0
"2020-01-12 00:00:00",0,0
"2020-01-19 00:00:00",0,0
"2020-01-26 00:00:00",0,0
"2020-02-02 00:00:00",137,-115
"2020-02-09 00:00:00",3,-1
"2020-02-16 00:00:00",0,0
"2020-02-23 00:00:00",0,0
"2020-03-01 00:00:00",0,0
"2020-03-08 00:00:00",0,0
"2020-03-15 00:00:00",56,0
"2020-03-22 00:00:00",0,0
"2020-03-29 00:00:00",1,-1
"2020-04-05 00:00:00",1076,-1086
"2020-04-12 00:00:00",2,-1
"2020-04-19 00:00:00",0,0
"2020-04-26 00:00:00",0,0
"2020-05-03 00:00:00",67,-31
"2020-05-10 00:00:00",0,0
"2020-05-17 00:00:00",0,0
"2020-05-24 00:00:00",0,0
"2020-05-31 00:00:00",0,0
"2020-06-07 00:00:00",0,0
"2020-06-14 00:00:00",0,0
"2020-06-21 00:00:00",0,0
"2020-06-28 00:00:00",0,0
"2020-07-05 00:00:00",0,0
"2020-07-12 00:00:00",0,0
"2020-07-19 00:00:00",0,0
"2020-07-26 00:00:00",0,0
"2020-08-02 00:00:00",0,0
"2020-08-09 00:00:00",0,0
"2020-08-16 00:00:00",0,0
"2020-08-23 00:00:00",1391,-1241
"2020-08-30 00:00:00",0,0
"2020-09-06 00:00:00",116,-112
"2020-09-13 00:00:00",0,0
"2020-09-20 00:00:00",0,0
"2020-09-27 00:00:00",0,0
"2020-10-04 00:00:00",0,0
"2020-10-11 00:00:00",0,0
"2020-10-18 00:00:00",0,0
"2020-10-25 00:00:00",0,0
"2020-11-01 00:00:00",0,0
"2020-11-08 00:00:00",0,0
"2020-11-15 00:00:00",0,0
"2020-11-22 00:00:00",0,0
"2020-11-29 00:00:00",0,0
"2020-12-06 00:00:00",0,0
"2020-12-13 00:00:00",1,-1
"2020-12-20 00:00:00",0,0
"2020-12-27 00:00:00",0,0
"2021-01-03 00:00:00",0,0
"2021-01-10 00:00:00",0,0
"2021-01-17 00:00:00",0,0
"2021-01-24 00:00:00",0,0
"2021-01-31 00:00:00",0,0
"2021-02-07 00:00:00",0,0
"2021-02-14 00:00:00",0,0
"2021-02-21 00:00:00",0,0
"2021-02-28 00:00:00",0,0
"2021-03-07 00:00:00",0,0
"2021-03-14 00:00:00",0,0
"2021-03-21 00:00:00",0,0
"2021-03-28 00:00:00",0,0
"2021-04-04 00:00:00",8,-2
"2021-04-11 00:00:00",0,0
"2021-04-18 00:00:00",1363,-1430
"2021-04-25 00:00:00",0,0
"2021-05-02 00:00:00",0,0
"2021-05-09 00:00:00",0,0
"2021-05-16 00:00:00",0,0
"2021-05-23 00:00:00",0,0
"2021-05-30 00:00:00",0,0
"2021-06-06 00:00:00",0,0
"2021-06-13 00:00:00",261,-831
"2021-06-20 00:00:00",0,0
"2021-06-27 00:00:00",0,0
"2021-07-04 00:00:00",0,0
"2021-07-11 00:00:00",0,0
"2021-07-18 00:00:00",0,0
"2021-07-25 00:00:00",0,0
"2021-08-01 00:00:00",0,0
"2021-08-08 00:00:00",0,0
"2021-08-15 00:00:00",0,0
"2021-08-22 00:00:00",0,0
"2021-08-29 00:00:00",1,-1
"2021-09-05 00:00:00",0,0
"2021-09-12 00:00:00",0,0
"2021-09-19 00:00:00",0,0
"2021-09-26 00:00:00",0,0
"2021-10-03 00:00:00",0,0
"2021-10-10 00:00:00",0,0
"2021-10-17 00:00:00",0,0
"2021-10-24 00:00:00",0,0
"2021-10-31 00:00:00",0,0
"2021-11-07 00:00:00",0,0
"2021-11-14 00:00:00",0,0
"2021-11-21 00:00:00",0,0
"2021-11-28 00:00:00",0,0
"2021-12-05 00:00:00",0,0
"2021-12-12 00:00:00",0,0
"2021-12-19 00:00:00",0,0
"2021-12-26 00:00:00",0,0
"2022-01-02 00:00:00",0,0
"2022-01-09 00:00:00",0,0
"2022-01-16 00:00:00",0,0
"2022-01-23 00:00:00",0,0
"2022-01-30 00:00:00",0,0
"2022-02-06 00:00:00",0,0
"2022-02-13 00:00:00",0,0
"2022-02-20 00:00:00",0,0
"2022-02-27 00:00:00",0,0
"2022-03-06 00:00:00",0,0
"2022-03-13 00:00:00",0,0
"2022-03-20 00:00:00",0,0
"2022-03-27 00:00:00",0,0
"2022-04-03 00:00:00",0,0
"2022-04-10 00:00:00",0,0
"2022-04-17 00:00:00",0,0
"2022-04-24 00:00:00",0,0
"2022-05-01 00:00:00",0,0
"2022-05-08 00:00:00",0,0
"2022-05-15 00:00:00",1869,-1954
"2022-05-22 00:00:00",0,0
"2022-05-29 00:00:00",21,-3
"2022-06-05 00:00:00",72,-71
"2022-06-12 00:00:00",0,0
"2022-06-19 00:00:00",0,0
"2022-06-26 00:00:00",0,0
"2022-07-03 00:00:00",0,0
"2022-07-10 00:00:00",0,0
"2022-07-17 00:00:00",0,0
"2022-07-24 00:00:00",0,0
"2022-07-31 00:00:00",0,0
"2022-08-07 00:00:00",0,0
"2022-08-14 00:00:00",0,0
"2022-08-21 00:00:00",0,0
"2022-08-28 00:00:00",0,0
"2022-09-04 00:00:00",0,0
"2022-09-11 00:00:00",0,0
"2022-09-18 00:00:00",0,0
"2022-09-25 00:00:00",0,0
"2022-10-02 00:00:00",0,0
"2022-10-09 00:00:00",0,0
"2022-10-16 00:00:00",0,0
"2022-10-23 00:00:00",0,0
"2022-10-30 00:00:00",0,0
"2022-11-06 00:00:00",0,0
"2022-11-13 00:00:00",0,0
"2022-11-20 00:00:00",0,0
"2022-11-27 00:00:00",0,0
"2022-12-04 00:00:00",0,0
"2022-12-11 00:00:00",0,0
"2022-12-18 00:00:00",0,0
"2022-12-25 00:00:00",0,0
"2023-01-01 00:00:00",0,0
"2023-01-08 00:00:00",0,0
"2023-01-15 00:00:00",0,0
"2023-01-22 00:00:00",0,0
"2023-01-29 00:00:00",0,0
"2023-02-05 00:00:00",0,0
"2023-02-12 00:00:00",0,0
"2023-02-19 00:00:00",0,0
"2023-02-26 00:00:00",0,0
"2023-03-05 00:00:00",0,0
"2023-03-12 00:00:00",0,0
"2023-03-19 00:00:00",0,0
"2023-03-26 00:00:00",0,0
"2023-04-02 00:00:00",0,0
"2023-04-09 00:00:00",0,0
"2023-04-16 00:00:00",0,0
"2023-04-23 00:00:00",0,0
"2023-04-30 00:00:00",0,0
"2023-05-07 00:00:00",0,0
"2023-05-14 00:00:00",0,0
"2023-05-21 00:00:00",0,0
"2023-05-28 00:00:00",0,0
"2023-06-04 00:00:00",0,0
"2023-06-11 00:00:00",0,0
"2023-06-18 00:00:00",0,0
"2023-06-25 00:00:00",1,-1
"2023-07-02 00:00:00",0,0
"2023-07-09 00:00:00",0,0
"2023-07-16 00:00:00",0,0
"2023-07-23 00:00:00",0,0
"2023-07-30 00:00:00",0,0
"2023-08-06 00:00:00",0,0
"2023-08-13 00:00:00",0,0
"2023-08-20 00:00:00",0,0
"2023-08-27 00:00:00",0,0
"2023-09-03 00:00:00",0,0
"2023-09-10 00:00:00",0,0
"2023-09-17 00:00:00",0,0
"2023-09-24 00:00:00",0,0
"2023-10-01 00:00:00",0,0
"2023-10-08 00:00:00",0,0
"2023-10-15 00:00:00",0,0
"2023-10-22 00:00:00",0,0
"2023-10-29 00:00:00",0,0
"2023-11-05 00:00:00",0,0
"2023-11-12 00:00:00",0,0
"2023-11-19 00:00:00",0,0
"2023-11-26 00:00:00",0,0
"2023-12-03 00:00:00",0,0
"2023-12-10 00:00:00",0,0
"2023-12-17 00:00:00",0,0
"2023-12-24 00:00:00",0,0
"2023-12-31 00:00:00",0,0
"2024-01-07 00:00:00",0,0
"2024-01-14 00:00:00",0,0
"2024-01-21 00:00:00",0,0
"2024-01-28 00:00:00",0,0
"2024-02-04 00:00:00",0,0
"2024-02-11 00:00:00",0,0
"2024-02-18 00:00:00",0,0
"2024-02-25 00:00:00",0,0
"2024-03-03 00:00:00",0,0
"2024-03-10 00:00:00",0,0
"2024-03-17 00:00:00",0,0
"2024-03-24 00:00:00",0,0
"2024-03-31 00:00:00",0,0
"2024-04-07 00:00:00",0,0
"2024-04-14 00:00:00",0,0
"2024-04-21 00:00:00",0,0
"2024-04-28 00:00:00",0,0
"2024-05-05 00:00:00",0,0
"2024-05-12 00:00:00",0,0
"2024-05-19 00:00:00",0,0
"2024-05-26 00:00:00",0,0
"2024-06-02 00:00:00",0,0
"2024-06-09 00:00:00",0,0
"2024-06-16 00:00:00",0,0
"2024-06-23 00:00:00",0,0
"2024-06-30 00:00:00",0,0
"2024-07-07 00:00:00",0,0
"2024-07-14 00:00:00",0,0
"2024-07-21 00:00:00",0,0
"2024-07-28 00:00:00",0,0
"2024-08-04 00:00:00",0,0
"2024-08-11 00:00:00",0,0
"2024-08-18 00:00:00",0,0
